Benchmark,Device,Device Name,N,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Samples,Batch GPU (sec)
naive,0,NVIDIA RTX A4000,64,No,74080,2.513924677375792e-05,1.7879560694693806,6.750012649412871e-06,0.11046396920186863,152946,3.269130851807308e-06
naive,0,NVIDIA RTX A4000,128,No,49136,2.774414799739479e-05,0.07366800551946733,1.0178197832663091e-05,0.07063637780534446,83118,6.0160618612714e-06
naive,0,NVIDIA RTX A4000,256,No,16528,4.815667558083256e-05,0.054060621950220294,3.0280935042850142e-05,0.025425751092333707,17372,2.8790951543707408e-05
naive,0,NVIDIA RTX A4000,512,No,2592,0.00022947030709876545,0.014232367236124602,0.00021140951939777893,0.013463848337662242,2593,0.00021192074265665638
naive,0,NVIDIA RTX A4000,1024,No,1776,0.0017386957257882884,0.018093350393498745,0.0017194475950421302,0.018455750678554005,1777,0.0017332635318286812
naive,0,NVIDIA RTX A4000,2048,No,1014,0.014785837507889553,0.014110921351457232,0.014765592563787138,0.014135788592647703,997,0.015043076573546909
naive,0,NVIDIA RTX A4000,4096,No,122,0.12296212887704921,0.010974683074267896,0.12292637452922883,0.010978696156229005,121,0.1246374296078011
naive,0,NVIDIA RTX A4000,8192,No,11,1.0028947364545455,0.0019166708058974589,1.0028441606001421,0.0019212473050917135,12,1.007977544148763
naive,1,NVIDIA RTX A4000,64,No,76480,2.467562439853557e-05,0.6662318852071274,6.538567091979714e-06,0.11297744976760946,147566,3.3883196315769213e-06
naive,1,NVIDIA RTX A4000,128,No,47984,2.8267589133877867e-05,0.17703308053916236,1.0421683717827842e-05,0.07726437783990309,80742,6.19273825788577e-06
naive,1,NVIDIA RTX A4000,256,No,16176,4.86902005440159e-05,0.0967116314847338,3.09134949638653e-05,0.029431728226794615,16958,2.948574065790415e-05
naive,1,NVIDIA RTX A4000,512,No,2336,0.0002330247178938354,0.023454639549787163,0.00021474204338091594,0.017296262444645508,2413,0.00021369349151244561
naive,1,NVIDIA RTX A4000,1024,No,2352,0.0017752490705782355,0.01715515130208567,0.0017550425291770891,0.014034304536283945,2353,0.0017778017318254141
naive,1,NVIDIA RTX A4000,2048,No,816,0.015482241856617642,0.03259437807019342,0.01545946497776932,0.03225723293189582,817,0.015722070314601093
naive,1,NVIDIA RTX A4000,4096,No,118,0.1276131334152542,0.013909612546732349,0.12758807327787755,0.013923360455915435,117,0.1292666812472873
naive,1,NVIDIA RTX A4000,8192,No,11,1.0363733965454547,0.0016642054671336668,1.0363279918323864,0.0016656360916064122,12,1.0425572713216147
shared,0,NVIDIA RTX A4000,64,No,88608,2.3712325196370045e-05,0.09564404677016111,5.643128231816296e-06,0.12611839018679633,153921,3.2484423113202407e-06
shared,0,NVIDIA RTX A4000,128,No,59600,2.6250514211409836e-05,0.1010464911694429,8.38965959660005e-06,0.08133608275054606,85541,5.853215544460222e-06
